"Story","Title","Result","Date","Stability","Duration (s)"
"Test Shopping Cart","Adds 2 products","SUCCESS","2023-05-12T18:01:37.435-05:00[America/Bogota]","0.0","69.13"
"Test Shopping Cart","Adds 2 products","SUCCESS","2023-05-15T19:47:58.9590319-05:00[America/Guayaquil]","0.0","129.11"
